DateKey,InvoiceDate,Day,Month,Year,Quarter
1,2010-12-01 08:26:00,1,12,2010,4
2,2010-12-01 08:28:00,1,12,2010,4
3,2010-12-01 08:34:00,1,12,2010,4
4,2010-12-01 08:35:00,1,12,2010,4
5,2010-12-01 08:45:00,1,12,2010,4
6,2010-12-01 09:00:00,1,12,2010,4
7,2010-12-01 09:01:00,1,12,2010,4
8,2010-12-01 09:02:00,1,12,2010,4
9,2010-12-01 09:09:00,1,12,2010,4
10,2010-12-01 09:32:00,1,12,2010,4
11,2010-12-01 09:34:00,1,12,2010,4
12,2010-12-01 09:37:00,1,12,2010,4
13,2010-12-01 09:41:00,1,12,2010,4
14,2010-12-01 09:45:00,1,12,2010,4
15,2010-12-01 09:49:00,1,12,2010,4
16,2010-12-01 09:53:00,1,12,2010,4
17,2010-12-01 09:56:00,1,12,2010,4
18,2010-12-01 09:57:00,1,12,2010,4
19,2010-12-01 09:58:00,1,12,2010,4
20,2010-12-01 09:59:00,1,12,2010,4
21,2010-12-01 10:03:00,1,12,2010,4
22,2010-12-01 10:19:00,1,12,2010,4
23,2010-12-01 10:24:00,1,12,2010,4
24,2010-12-01 10:29:00,1,12,2010,4
25,2010-12-01 10:37:00,1,12,2010,4
26,2010-12-01 10:39:00,1,12,2010,4
27,2010-12-01 10:47:00,1,12,2010,4
28,2010-12-01 10:51:00,1,12,2010,4
29,2010-12-01 10:52:00,1,12,2010,4
30,2010-12-01 10:53:00,1,12,2010,4
31,2010-12-01 11:21:00,1,12,2010,4
32,2010-12-01 11:22:00,1,12,2010,4
33,2010-12-01 11:27:00,1,12,2010,4
34,2010-12-01 11:29:00,1,12,2010,4
35,2010-12-01 11:32:00,1,12,2010,4
36,2010-12-01 11:33:00,1,12,2010,4
37,2010-12-01 11:34:00,1,12,2010,4
38,2010-12-01 11:41:00,1,12,2010,4
39,2010-12-01 11:45:00,1,12,2010,4
40,2010-12-01 11:49:00,1,12,2010,4
41,2010-12-01 11:57:00,1,12,2010,4
42,2010-12-01 11:58:00,1,12,2010,4
43,2010-12-01 12:03:00,1,12,2010,4
44,2010-12-01 12:08:00,1,12,2010,4
45,2010-12-01 12:12:00,1,12,2010,4
46,2010-12-01 12:15:00,1,12,2010,4
47,2010-12-01 12:22:00,1,12,2010,4
48,2010-12-01 12:23:00,1,12,2010,4
49,2010-12-01 12:27:00,1,12,2010,4
50,2010-12-01 12:31:00,1,12,2010,4
51,2010-12-01 12:35:00,1,12,2010,4
52,2010-12-01 12:36:00,1,12,2010,4
53,2010-12-01 12:38:00,1,12,2010,4
54,2010-12-01 12:40:00,1,12,2010,4
55,2010-12-01 12:43:00,1,12,2010,4
56,2010-12-01 12:48:00,1,12,2010,4
57,2010-12-01 12:49:00,1,12,2010,4
58,2010-12-01 12:50:00,1,12,2010,4
59,2010-12-01 12:51:00,1,12,2010,4
60,2010-12-01 12:54:00,1,12,2010,4
