CustomerKey,CustomerID,Country
1,17850.0,United Kingdom
2,13047.0,United Kingdom
3,12583.0,France
4,13748.0,United Kingdom
5,15100.0,United Kingdom
6,15291.0,United Kingdom
7,14688.0,United Kingdom
8,17809.0,United Kingdom
9,15311.0,United Kingdom
10,14527.0,United Kingdom
11,16098.0,United Kingdom
12,18074.0,United Kingdom
13,17420.0,United Kingdom
14,16029.0,United Kingdom
15,16250.0,United Kingdom
16,12431.0,Australia
17,17511.0,United Kingdom
18,17548.0,United Kingdom
19,13705.0,United Kingdom
20,13747.0,United Kingdom
21,13408.0,United Kingdom
22,13767.0,United Kingdom
23,17924.0,United Kingdom
24,13448.0,United Kingdom
25,15862.0,United Kingdom
26,15513.0,United Kingdom
27,12791.0,Netherlands
28,16218.0,United Kingdom
29,14045.0,United Kingdom
30,14307.0,United Kingdom
31,17908.0,United Kingdom
32,17920.0,United Kingdom
33,12838.0,United Kingdom
34,13255.0,United Kingdom
35,16583.0,United Kingdom
36,18085.0,United Kingdom
37,13758.0,United Kingdom
38,13694.0,United Kingdom
39,15983.0,United Kingdom
40,14849.0,United Kingdom
41,17968.0,United Kingdom
42,16210.0,United Kingdom
43,17897.0,United Kingdom
44,17377.0,United Kingdom
45,16552.0,United Kingdom
46,17181.0,United Kingdom
47,17951.0,United Kingdom
48,14729.0,United Kingdom
49,12748.0,United Kingdom
50,15012.0,United Kingdom
51,12868.0,United Kingdom
52,17572.0,United Kingdom
53,14078.0,United Kingdom
54,14001.0,United Kingdom
55,12662.0,Germany
56,15525.0,United Kingdom
57,14237.0,United Kingdom
58,17905.0,United Kingdom
59,15485.0,United Kingdom
60,12433.0,Norway
61,16955.0,United Kingdom
62,15350.0,United Kingdom
63,15605.0,United Kingdom
64,18144.0,United Kingdom
65,15922.0,United Kingdom
66,14594.0,United Kingdom
67,15165.0,United Kingdom
68,14911.0,EIRE
69,16456.0,United Kingdom
70,17841.0,United Kingdom
71,12472.0,Germany
72,17346.0,United Kingdom
73,17643.0,United Kingdom
74,17873.0,United Kingdom
75,13093.0,United Kingdom
76,12921.0,United Kingdom
77,13468.0,United Kingdom
78,17760.0,United Kingdom
79,16928.0,United Kingdom
80,16048.0,United Kingdom
81,16274.0,United Kingdom
82,14496.0,United Kingdom
83,14696.0,United Kingdom
84,16539.0,United Kingdom
85,17025.0,United Kingdom
86,13777.0,United Kingdom
87,17690.0,United Kingdom
88,12947.0,United Kingdom
89,17460.0,United Kingdom
90,18229.0,United Kingdom
91,14142.0,United Kingdom
92,17069.0,United Kingdom
93,13065.0,United Kingdom
94,14606.0,United Kingdom
95,16835.0,United Kingdom
96,15235.0,United Kingdom
97,13576.0,United Kingdom
98,18011.0,United Kingdom
99,13090.0,United Kingdom
100,15694.0,United Kingdom
101,14741.0,United Kingdom
102,13715.0,United Kingdom
103,14092.0,United Kingdom
104,17732.0,United Kingdom
105,12855.0,United Kingdom
106,15752.0,United Kingdom
107,17855.0,United Kingdom
108,14047.0,United Kingdom
109,17925.0,United Kingdom
110,13941.0,United Kingdom
111,17017.0,United Kingdom
112,14135.0,United Kingdom
113,13108.0,United Kingdom
114,12471.0,Germany
115,15601.0,United Kingdom
116,13418.0,United Kingdom
117,14766.0,United Kingdom
118,15658.0,United Kingdom
119,14388.0,United Kingdom
120,14901.0,United Kingdom
121,18041.0,United Kingdom
122,15955.0,United Kingdom
123,15070.0,United Kingdom
124,16244.0,United Kingdom
125,15111.0,United Kingdom
126,14390.0,United Kingdom
127,16546.0,United Kingdom
128,15260.0,United Kingdom
129,13305.0,United Kingdom
130,14491.0,United Kingdom
131,14060.0,United Kingdom
132,15923.0,United Kingdom
133,16752.0,United Kingdom
134,17287.0,United Kingdom
135,15363.0,United Kingdom
136,12915.0,United Kingdom
137,15544.0,United Kingdom
138,15738.0,United Kingdom
139,16042.0,United Kingdom
140,17381.0,United Kingdom
141,15827.0,United Kingdom
142,14180.0,United Kingdom
143,13117.0,United Kingdom
144,16916.0,United Kingdom
145,17964.0,United Kingdom
146,14466.0,United Kingdom
147,17235.0,United Kingdom
148,16510.0,United Kingdom
149,17802.0,United Kingdom
150,15107.0,United Kingdom
151,17976.0,United Kingdom
152,14449.0,United Kingdom
153,15838.0,United Kingdom
154,16781.0,United Kingdom
155,17547.0,United Kingdom
156,13491.0,United Kingdom
157,16186.0,United Kingdom
158,17685.0,United Kingdom
159,17581.0,United Kingdom
160,15732.0,United Kingdom
161,13138.0,United Kingdom
162,15823.0,United Kingdom
163,17567.0,United Kingdom
164,15061.0,United Kingdom
165,16203.0,United Kingdom
166,15640.0,United Kingdom
167,15574.0,United Kingdom
168,16770.0,United Kingdom
169,17838.0,United Kingdom
170,17228.0,United Kingdom
171,14829.0,United Kingdom
172,17412.0,United Kingdom
173,14031.0,United Kingdom
174,14775.0,United Kingdom
175,12971.0,United Kingdom
176,15834.0,United Kingdom
177,17659.0,United Kingdom
178,15299.0,United Kingdom
179,15646.0,United Kingdom
180,13958.0,United Kingdom
181,14443.0,United Kingdom
182,14156.0,EIRE
183,16995.0,United Kingdom
184,13402.0,United Kingdom
185,18168.0,United Kingdom
186,17757.0,United Kingdom
187,14625.0,United Kingdom
188,13011.0,United Kingdom
189,13798.0,United Kingdom
190,15384.0,United Kingdom
191,14264.0,United Kingdom
192,13295.0,United Kingdom
193,16754.0,United Kingdom
194,16634.0,United Kingdom
195,18239.0,United Kingdom
196,14576.0,United Kingdom
197,13145.0,United Kingdom
198,14395.0,United Kingdom
199,14865.0,United Kingdom
200,15093.0,United Kingdom
201,12738.0,Germany
202,16150.0,United Kingdom
